model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.920270473955104,competition_score,3.0862982273101807,167.2464895248413,0.0009999275207519531,0.12465810775756836,3,True,125
LightGBMXT_BAG_L2,0.9030538256220906,competition_score,2.9272243976593018,76.57214450836182,0.6632504463195801,25.50897789001465,2,True,108
NeuralNetTorch_BAG_L2,0.9005722410074776,competition_score,2.33548903465271,79.65876460075378,0.07151508331298828,28.595597982406616,2,True,115
NeuralNetTorch_r22_BAG_L2,0.895507790369541,competition_score,2.3505327701568604,113.01725554466248,0.08655881881713867,61.95408892631531,2,True,123
LightGBM_r96_BAG_L2,0.8876386473644046,competition_score,2.737074136734009,67.8505437374115,0.4731001853942871,16.78737711906433,2,True,122
ExtraTreesMSE_BAG_L2,0.8612259856757889,competition_score,2.600977659225464,53.49349117279053,0.3370037078857422,2.4303245544433594,2,True,112
LightGBM_r131_BAG_L2,0.8595552347050425,competition_score,3.072835683822632,86.03282284736633,0.8088617324829102,34.969656229019165,2,True,119
LightGBM_BAG_L2,0.8547041389515612,competition_score,2.4165005683898926,59.61215949058533,0.1525266170501709,8.54899287223816,2,True,109
CatBoost_r9_BAG_L2,0.8546915266078885,competition_score,2.630183219909668,761.2573628425598,0.3662092685699463,710.1941962242126,2,True,121
CatBoost_BAG_L2,0.8543426300292951,competition_score,2.52164888381958,261.67271089553833,0.2576749324798584,210.60954427719116,2,True,111
CatBoost_r177_BAG_L2,0.8536820104568379,competition_score,2.5231151580810547,250.2603006362915,0.259141206741333,199.19713401794434,2,True,117
XGBoost_r33_BAG_L2,0.8514627481469743,competition_score,2.366478443145752,119.26167917251587,0.10250449180603027,68.1985125541687,2,True,124
LightGBMLarge_BAG_L2,0.8464758025601303,competition_score,2.4294917583465576,81.41919755935669,0.16551780700683594,30.35603094100952,2,True,116
RandomForestMSE_BAG_L2,0.8459184505638073,competition_score,2.591676950454712,54.046398878097534,0.32770299911499023,2.983232259750366,2,True,110
XGBoost_BAG_L2,0.8418916273962896,competition_score,2.354487180709839,67.66451835632324,0.09051322937011719,16.601351737976074,2,True,114
WeightedEnsemble_L2,0.749239383881129,competition_score,0.9967179298400879,10.815346002578735,0.0009996891021728516,0.1485438346862793,2,True,107
CatBoost_r50_BAG_L1,0.7478921698875277,competition_score,0.27254652976989746,3.9208550453186035,0.27254652976989746,3.9208550453186035,1,True,29
CatBoost_r6_BAG_L1,0.7473369436884647,competition_score,0.2492372989654541,3.2574541568756104,0.2492372989654541,3.2574541568756104,1,True,81
CatBoost_r167_BAG_L1,0.7465362045766287,competition_score,0.2582714557647705,4.713198661804199,0.2582714557647705,4.713198661804199,1,True,42
CatBoost_r12_BAG_L1,0.7464267518516705,competition_score,0.2116408348083496,10.845713376998901,0.2116408348083496,10.845713376998901,1,True,92
