model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_r86_BAG_L1,0.9856844217539948,competition_score,0.03583121299743652,412.14280009269714,0.03583121299743652,412.14280009269714,1,True,50
ExtraTreesMSE_BAG_L1,0.9856010122215502,competition_score,0.17025446891784668,0.703934907913208,0.17025446891784668,0.703934907913208,1,True,7
XGBoost_r33_BAG_L1,0.9853528435037158,competition_score,0.09757089614868164,34.39794969558716,0.09757089614868164,34.39794969558716,1,True,19
LightGBMLarge_BAG_L1,0.9846865832692983,competition_score,0.25687432289123535,68.14397239685059,0.25687432289123535,68.14397239685059,1,True,11
RandomForestMSE_BAG_L1,0.9844310703345531,competition_score,0.17025542259216309,2.686802387237549,0.17025542259216309,2.686802387237549,1,True,5
XGBoost_r98_BAG_L1,0.9844084673348659,competition_score,0.09856724739074707,62.54849171638489,0.09856724739074707,62.54849171638489,1,True,47
LightGBMXT_BAG_L1,0.9842183535075792,competition_score,0.18671607971191406,30.397722244262695,0.18671607971191406,30.397722244262695,1,True,3
ExtraTrees_r172_BAG_L1,0.9840734645024425,competition_score,0.16029882431030273,0.5919299125671387,0.16029882431030273,0.5919299125671387,1,True,34
ExtraTrees_r42_BAG_L1,0.9839731610462107,competition_score,0.17921233177185059,0.7303783893585205,0.17921233177185059,0.7303783893585205,1,True,20
LightGBM_r94_BAG_L1,0.9839544313381499,competition_score,0.2986884117126465,24.54147458076477,0.2986884117126465,24.54147458076477,1,True,59
RandomForest_r127_BAG_L1,0.9839318619868149,competition_score,0.15730810165405273,1.522719144821167,0.15730810165405273,1.522719144821167,1,True,56
RandomForest_r39_BAG_L1,0.9837512011836174,competition_score,0.16328215599060059,1.6047580242156982,0.16328215599060059,1.6047580242156982,1,True,43
RandomForest_r195_BAG_L1,0.9837475956744136,competition_score,0.16906166076660156,1.9376578330993652,0.16906166076660156,1.9376578330993652,1,True,24
