model,mean_score,std_score,cv_scores
RandomForest,0.5700777108297836,0.02129823847859411,"[np.float64(0.5728246769293367), np.float64(0.5638864776931802), np.float64(0.568785058955562), np.float64(0.6056825018496701), np.float64(0.5392098387211697)]"
ExtraTrees,0.5676344555815357,0.013639336035106569,"[np.float64(0.5666862639903255), np.float64(0.5645717696709459), np.float64(0.5669754678163285), np.float64(0.5912830016983452), np.float64(0.5486557747317333)]"
LightGBM,0.5730959236973721,0.018648745484363377,"[np.float64(0.5696065479608087), np.float64(0.5709536661481602), np.float64(0.5776911735561289), np.float64(0.602772820489266), np.float64(0.5444554103324964)]"
XGBoost,0.5682615333305806,0.014888166087223449,"[np.float64(0.5690329507033705), np.float64(0.565868143800067), np.float64(0.5718037360366501), np.float64(0.590620650529901), np.float64(0.5439821855829143)]"
CatBoost,0.5707827025775201,0.021449238093765352,"[np.float64(0.5698554743870916), np.float64(0.5648984689423824), np.float64(0.571192645424875), np.float64(0.6074812779705983), np.float64(0.5404856461626533)]"
Ensemble,0.5757166087945171,0.020114977826380182,"[np.float64(0.5737384451490511), np.float64(0.5704734245758908), np.float64(0.5771380850034298), np.float64(0.6100236911209483), np.float64(0.5472093981232659)]"
