Model,CV_Score,CV_Std,OOF_Score
CatBoost,0.5726945450404807,0.035643015255443326,0.607530722844541
Ensemble,0.5713166454469728,0.034597957356395544,0.6064691748993318
LightGBM,0.5673584684674609,0.03268994416138597,0.6035732374482321
ExtraTrees,0.5671884192659411,0.03404099958291694,0.6018472532388256
XGBoost,0.5660603380179884,0.03579125106313137,0.6005927604378195
