feature,importance
MolLogP,0.19503898300474395
MolWt,0.07335910753316076
FractionCSP3,0.06117036080082911
TPSA,0.0491294143102147
HeavyAtomCount,0.04135422104157767
NumRotatableBonds,0.02752898475187868
NumRings,0.015609502863576073
NumHBD,0.013458470988568262
NumHBA,0.011246585794345319
maccs_136,0.010655838210892462
maccs_154,0.009950331324835979
maccs_83,0.009667020041409517
maccs_123,0.009344852006833859
maccs_74,0.008964928853484818
maccs_98,0.008633072995233138
maccs_84,0.008475648132850368
maccs_144,0.008112925021084762
maccs_97,0.007775619703317977
maccs_139,0.0069355862027024005
maccs_95,0.006499589473931265
maccs_38,0.006471724213107088
maccs_93,0.006470079445450517
maccs_62,0.0063120221961686035
maccs_79,0.0059142443594259715
maccs_96,0.005804636716259006
maccs_101,0.005734208195917799
maccs_108,0.005722511287775551
maccs_80,0.005617848571796101
maccs_159,0.005505910174402571
maccs_89,0.005417653668512502
maccs_132,0.005415966825164272
maccs_106,0.0053963318175041354
maccs_150,0.005320575374206523
maccs_135,0.005247987442038507
maccs_113,0.0051486207428667885
maccs_110,0.0051397322869117575
maccs_77,0.005138107029253195
