Model,CV_Score,CV_Std
Ensemble,0.5723662599253903,0.0
CatBoost,0.5693452104851855,0.017019619960240664
ExtraTrees,0.5631473322959313,0.015573041030866363
LightGBM,0.5598594716222673,0.0162627821855352
XGBoost,0.4353928743332426,0.023024346083399393
